game_code,game_date,game_time,home_code,home_name,home_link,away_code,away_name,away_link,arena
LAC-HOU-=1152023,=1-15-2023,3:00p,LAC,Los Angeles Clippers,/teams/LAC/2023.html,HOU,Houston Rockets,/teams/HOU/2023.html,Crypto.com Arena
CHI-GSW-=1152023,=1-15-2023,3:30p,CHI,Chicago Bulls,/teams/CHI/2023.html,GSW,Golden State Warriors,/teams/GSW/2023.html,United Center
BRK-OKC-=1152023,=1-15-2023,6:00p,BRK,Brooklyn Nets,/teams/BRK/2023.html,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,Barclays Center
SAS-SAC-=1152023,=1-15-2023,7:00p,SAS,San Antonio Spurs,/teams/SAS/2023.html,SAC,Sacramento Kings,/teams/SAC/2023.html,AT&T Center
DEN-ORL-=1152023,=1-15-2023,8:00p,DEN,Denver Nuggets,/teams/DEN/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,Ball Arena
POR-DAL-=1152023,=1-15-2023,9:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,DAL,Dallas Mavericks,/teams/DAL/2023.html,Moda Center
LAL-PHI-=1152023,=1-15-2023,9:30p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,PHI,Philadelphia 76ers,/teams/PHI/2023.html,Crypto.com Arena
CHO-BOS-=1162023,=1-16-2023,1:00p,CHO,Charlotte Hornets,/teams/CHO/2023.html,BOS,Boston Celtics,/teams/BOS/2023.html,Spectrum Center
MIL-IND-=1162023,=1-16-2023,2:30p,MIL,Milwaukee Bucks,/teams/MIL/2023.html,IND,Indiana Pacers,/teams/IND/2023.html,Fiserv Forum
CLE-NOP-=1162023,=1-16-2023,3:00p,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,NOP,New Orleans Pelicans,/teams/NOP/2023.html,Rocket Mortgage Fieldhouse
NYK-TOR-=1162023,=1-16-2023,3:00p,NYK,New York Knicks,/teams/NYK/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Madison Square Garden (IV)
WAS-GSW-=1162023,=1-16-2023,3:00p,WAS,Washington Wizards,/teams/WAS/2023.html,GSW,Golden State Warriors,/teams/GSW/2023.html,Capital One Arena
ATL-MIA-=1162023,=1-16-2023,3:30p,ATL,Atlanta Hawks,/teams/ATL/2023.html,MIA,Miami Heat,/teams/MIA/2023.html,State Farm Arena
MIN-UTA-=1162023,=1-16-2023,4:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,UTA,Utah Jazz,/teams/UTA/2023.html,Target Center
MEM-PHO-=1162023,=1-16-2023,6:00p,MEM,Memphis Grizzlies,/teams/MEM/2023.html,PHO,Phoenix Suns,/teams/PHO/2023.html,FedEx Forum
LAL-HOU-=1162023,=1-16-2023,10:30p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,HOU,Houston Rockets,/teams/HOU/2023.html,Crypto.com Arena
MIL-TOR-=1172023,=1-17-2023,7:30p,MIL,Milwaukee Bucks,/teams/MIL/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Fiserv Forum
SAS-BRK-=1172023,=1-17-2023,8:00p,SAS,San Antonio Spurs,/teams/SAS/2023.html,BRK,Brooklyn Nets,/teams/BRK/2023.html,AT&T Center
DEN-POR-=1172023,=1-17-2023,9:00p,DEN,Denver Nuggets,/teams/DEN/2023.html,POR,Portland Trail Blazers,/teams/POR/2023.html,Ball Arena
LAC-PHI-=1172023,=1-17-2023,10:00p,LAC,Los Angeles Clippers,/teams/LAC/2023.html,PHI,Philadelphia 76ers,/teams/PHI/2023.html,Crypto.com Arena
DAL-ATL-=1182023,=1-18-2023,7:30p,DAL,Dallas Mavericks,/teams/DAL/2023.html,ATL,Atlanta Hawks,/teams/ATL/2023.html,American Airlines Center
NYK-WAS-=1182023,=1-18-2023,7:30p,NYK,New York Knicks,/teams/NYK/2023.html,WAS,Washington Wizards,/teams/WAS/2023.html,Madison Square Garden (IV)
HOU-CHO-=1182023,=1-18-2023,8:00p,HOU,Houston Rockets,/teams/HOU/2023.html,CHO,Charlotte Hornets,/teams/CHO/2023.html,Toyota Center
MEM-CLE-=1182023,=1-18-2023,8:00p,MEM,Memphis Grizzlies,/teams/MEM/2023.html,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,FedEx Forum
NOP-MIA-=1182023,=1-18-2023,8:00p,NOP,New Orleans Pelicans,/teams/NOP/2023.html,MIA,Miami Heat,/teams/MIA/2023.html,Smoothie King Center
OKC-IND-=1182023,=1-18-2023,8:00p,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,IND,Indiana Pacers,/teams/IND/2023.html,Paycom Center
UTA-LAC-=1182023,=1-18-2023,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,Vivint Arena
DEN-MIN-=1182023,=1-18-2023,10:00p,DEN,Denver Nuggets,/teams/DEN/2023.html,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,Ball Arena
LAL-SAC-=1182023,=1-18-2023,10:30p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,SAC,Sacramento Kings,/teams/SAC/2023.html,Crypto.com Arena
DET-CHI-=1192023,=1-19-2023,3:00p,DET,Detroit Pistons,/teams/DET/2023.html,CHI,Chicago Bulls,/teams/CHI/2023.html,AccorHotels Arena
BOS-GSW-=1192023,=1-19-2023,7:30p,BOS,Boston Celtics,/teams/BOS/2023.html,GSW,Golden State Warriors,/teams/GSW/2023.html,TD Garden
MIN-TOR-=1192023,=1-19-2023,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Target Center
PHO-BRK-=1192023,=1-19-2023,10:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,BRK,Brooklyn Nets,/teams/BRK/2023.html,Footprint Center
POR-PHI-=1192023,=1-19-2023,10:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,PHI,Philadelphia 76ers,/teams/PHI/2023.html,Moda Center
ORL-NOP-=1202023,=1-20-2023,7:00p,ORL,Orlando Magic,/teams/ORL/2023.html,NOP,New Orleans Pelicans,/teams/NOP/2023.html,Amway Center
ATL-NYK-=1202023,=1-20-2023,7:30p,ATL,Atlanta Hawks,/teams/ATL/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,State Farm Arena
CLE-GSW-=1202023,=1-20-2023,7:30p,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,GSW,Golden State Warriors,/teams/GSW/2023.html,Rocket Mortgage Fieldhouse
DAL-MIA-=1202023,=1-20-2023,7:30p,DAL,Dallas Mavericks,/teams/DAL/2023.html,MIA,Miami Heat,/teams/MIA/2023.html,American Airlines Center
SAS-LAC-=1202023,=1-20-2023,8:00p,SAS,San Antonio Spurs,/teams/SAS/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,AT&T Center
DEN-IND-=1202023,=1-20-2023,9:00p,DEN,Denver Nuggets,/teams/DEN/2023.html,IND,Indiana Pacers,/teams/IND/2023.html,Ball Arena
UTA-BRK-=1202023,=1-20-2023,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,BRK,Brooklyn Nets,/teams/BRK/2023.html,Vivint Arena
LAL-MEM-=1202023,=1-20-2023,10:00p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,MEM,Memphis Grizzlies,/teams/MEM/2023.html,Crypto.com Arena
SAC-OKC-=1202023,=1-20-2023,10:00p,SAC,Sacramento Kings,/teams/SAC/2023.html,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,Golden 1 Center
TOR-BOS-=1212023,=1-21-2023,5:00p,TOR,Toronto Raptors,/teams/TOR/2023.html,BOS,Boston Celtics,/teams/BOS/2023.html,Scotiabank Arena
WAS-ORL-=1212023,=1-21-2023,7:00p,WAS,Washington Wizards,/teams/WAS/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,Capital One Arena
ATL-CHO-=1212023,=1-21-2023,7:30p,ATL,Atlanta Hawks,/teams/ATL/2023.html,CHO,Charlotte Hornets,/teams/CHO/2023.html,State Farm Arena
CLE-MIL-=1212023,=1-21-2023,7:30p,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,MIL,Milwaukee Bucks,/teams/MIL/2023.html,Rocket Mortgage Fieldhouse
MIN-HOU-=1212023,=1-21-2023,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,HOU,Houston Rockets,/teams/HOU/2023.html,Target Center
PHO-IND-=1212023,=1-21-2023,9:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,IND,Indiana Pacers,/teams/IND/2023.html,Footprint Center
SAC-PHI-=1212023,=1-21-2023,10:00p,SAC,Sacramento Kings,/teams/SAC/2023.html,PHI,Philadelphia 76ers,/teams/PHI/2023.html,Golden 1 Center
MIA-NOP-=1222023,=1-22-2023,3:30p,MIA,Miami Heat,/teams/MIA/2023.html,NOP,New Orleans Pelicans,/teams/NOP/2023.html,FTX Arena
TOR-NYK-=1222023,=1-22-2023,6:00p,TOR,Toronto Raptors,/teams/TOR/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,Scotiabank Arena
DAL-LAC-=1222023,=1-22-2023,7:30p,DAL,Dallas Mavericks,/teams/DAL/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,American Airlines Center
DEN-OKC-=1222023,=1-22-2023,8:00p,DEN,Denver Nuggets,/teams/DEN/2023.html,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,Ball Arena
PHO-MEM-=1222023,=1-22-2023,8:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,MEM,Memphis Grizzlies,/teams/MEM/2023.html,Footprint Center
GSW-BRK-=1222023,=1-22-2023,8:30p,GSW,Golden State Warriors,/teams/GSW/2023.html,BRK,Brooklyn Nets,/teams/BRK/2023.html,Chase Center
POR-LAL-=1222023,=1-22-2023,9:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,LAL,Los Angeles Lakers,/teams/LAL/2023.html,Moda Center
DET-MIL-=1232023,=1-23-2023,7:00p,DET,Detroit Pistons,/teams/DET/2023.html,MIL,Milwaukee Bucks,/teams/MIL/2023.html,Little Caesars Arena
ORL-BOS-=1232023,=1-23-2023,7:00p,ORL,Orlando Magic,/teams/ORL/2023.html,BOS,Boston Celtics,/teams/BOS/2023.html,Amway Center
CHI-ATL-=1232023,=1-23-2023,8:00p,CHI,Chicago Bulls,/teams/CHI/2023.html,ATL,Atlanta Hawks,/teams/ATL/2023.html,United Center
HOU-MIN-=1232023,=1-23-2023,8:00p,HOU,Houston Rockets,/teams/HOU/2023.html,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,Toyota Center
UTA-CHO-=1232023,=1-23-2023,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,CHO,Charlotte Hornets,/teams/CHO/2023.html,Vivint Arena
POR-SAS-=1232023,=1-23-2023,10:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,SAS,San Antonio Spurs,/teams/SAS/2023.html,Moda Center
SAC-MEM-=1232023,=1-23-2023,10:30p,SAC,Sacramento Kings,/teams/SAC/2023.html,MEM,Memphis Grizzlies,/teams/MEM/2023.html,Golden 1 Center
IND-CHI-=1242023,=1-24-2023,7:00p,IND,Indiana Pacers,/teams/IND/2023.html,CHI,Chicago Bulls,/teams/CHI/2023.html,Gainbridge Fieldhouse
MIA-BOS-=1242023,=1-24-2023,7:30p,MIA,Miami Heat,/teams/MIA/2023.html,BOS,Boston Celtics,/teams/BOS/2023.html,FTX Arena
NYK-CLE-=1242023,=1-24-2023,7:30p,NYK,New York Knicks,/teams/NYK/2023.html,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,Madison Square Garden (IV)
NOP-DEN-=1242023,=1-24-2023,8:00p,NOP,New Orleans Pelicans,/teams/NOP/2023.html,DEN,Denver Nuggets,/teams/DEN/2023.html,Smoothie King Center
DAL-WAS-=1242023,=1-24-2023,8:30p,DAL,Dallas Mavericks,/teams/DAL/2023.html,WAS,Washington Wizards,/teams/WAS/2023.html,American Airlines Center
PHO-CHO-=1242023,=1-24-2023,9:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,CHO,Charlotte Hornets,/teams/CHO/2023.html,Footprint Center
LAL-LAC-=1242023,=1-24-2023,10:00p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,Crypto.com Arena
ORL-IND-=1252023,=1-25-2023,7:00p,ORL,Orlando Magic,/teams/ORL/2023.html,IND,Indiana Pacers,/teams/IND/2023.html,Amway Center
PHI-BRK-=1252023,=1-25-2023,7:30p,PHI,Philadelphia 76ers,/teams/PHI/2023.html,BRK,Brooklyn Nets,/teams/BRK/2023.html,Wells Fargo Center
HOU-WAS-=1252023,=1-25-2023,8:00p,HOU,Houston Rockets,/teams/HOU/2023.html,WAS,Washington Wizards,/teams/WAS/2023.html,Toyota Center
MIL-DEN-=1252023,=1-25-2023,8:00p,MIL,Milwaukee Bucks,/teams/MIL/2023.html,DEN,Denver Nuggets,/teams/DEN/2023.html,Fiserv Forum
NOP-MIN-=1252023,=1-25-2023,8:00p,NOP,New Orleans Pelicans,/teams/NOP/2023.html,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,Smoothie King Center
OKC-ATL-=1252023,=1-25-2023,8:00p,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,ATL,Atlanta Hawks,/teams/ATL/2023.html,Paycom Center
GSW-MEM-=1252023,=1-25-2023,10:00p,GSW,Golden State Warriors,/teams/GSW/2023.html,MEM,Memphis Grizzlies,/teams/MEM/2023.html,Chase Center
POR-UTA-=1252023,=1-25-2023,10:00p,POR,Portland Trail Blazers,/teams/POR/2023.html,UTA,Utah Jazz,/teams/UTA/2023.html,Moda Center
SAC-TOR-=1252023,=1-25-2023,10:00p,SAC,Sacramento Kings,/teams/SAC/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Golden 1 Center
LAL-SAS-=1252023,=1-25-2023,10:30p,LAL,Los Angeles Lakers,/teams/LAL/2023.html,SAS,San Antonio Spurs,/teams/SAS/2023.html,Crypto.com Arena
BOS-NYK-=1262023,=1-26-2023,7:30p,BOS,Boston Celtics,/teams/BOS/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,TD Garden
BRK-DET-=1262023,=1-26-2023,7:30p,BRK,Brooklyn Nets,/teams/BRK/2023.html,DET,Detroit Pistons,/teams/DET/2023.html,Barclays Center
CHO-CHI-=1262023,=1-26-2023,7:30p,CHO,Charlotte Hornets,/teams/CHO/2023.html,CHI,Chicago Bulls,/teams/CHI/2023.html,Spectrum Center
HOU-CLE-=1262023,=1-26-2023,8:00p,HOU,Houston Rockets,/teams/HOU/2023.html,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,Toyota Center
PHO-DAL-=1262023,=1-26-2023,10:00p,PHO,Phoenix Suns,/teams/PHO/2023.html,DAL,Dallas Mavericks,/teams/DAL/2023.html,Footprint Center
LAC-SAS-=1262023,=1-26-2023,10:30p,LAC,Los Angeles Clippers,/teams/LAC/2023.html,SAS,San Antonio Spurs,/teams/SAS/2023.html,Crypto.com Arena
IND-MIL-=1272023,=1-27-2023,7:00p,IND,Indiana Pacers,/teams/IND/2023.html,MIL,Milwaukee Bucks,/teams/MIL/2023.html,Gainbridge Fieldhouse
MIN-MEM-=1272023,=1-27-2023,7:30p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,MEM,Memphis Grizzlies,/teams/MEM/2023.html,Target Center
MIA-ORL-=1272023,=1-27-2023,8:00p,MIA,Miami Heat,/teams/MIA/2023.html,ORL,Orlando Magic,/teams/ORL/2023.html,FTX Arena
OKC-CLE-=1272023,=1-27-2023,8:00p,OKC,Oklahoma City Thunder,/teams/OKC/2023.html,CLE,Cleveland Cavaliers,/teams/CLE/2023.html,Paycom Center
GSW-TOR-=1272023,=1-27-2023,10:00p,GSW,Golden State Warriors,/teams/GSW/2023.html,TOR,Toronto Raptors,/teams/TOR/2023.html,Chase Center
PHI-DEN-=1282023,=1-28-2023,3:00p,PHI,Philadelphia 76ers,/teams/PHI/2023.html,DEN,Denver Nuggets,/teams/DEN/2023.html,Wells Fargo Center
BRK-NYK-=1282023,=1-28-2023,5:30p,BRK,Brooklyn Nets,/teams/BRK/2023.html,NYK,New York Knicks,/teams/NYK/2023.html,Barclays Center
DET-HOU-=1282023,=1-28-2023,7:00p,DET,Detroit Pistons,/teams/DET/2023.html,HOU,Houston Rockets,/teams/HOU/2023.html,Little Caesars Arena
ORL-CHI-=1282023,=1-28-2023,7:00p,ORL,Orlando Magic,/teams/ORL/2023.html,CHI,Chicago Bulls,/teams/CHI/2023.html,Amway Center
ATL-LAC-=1282023,=1-28-2023,7:30p,ATL,Atlanta Hawks,/teams/ATL/2023.html,LAC,Los Angeles Clippers,/teams/LAC/2023.html,State Farm Arena
MIN-SAC-=1282023,=1-28-2023,8:00p,MIN,Minnesota Timberwolves,/teams/MIN/2023.html,SAC,Sacramento Kings,/teams/SAC/2023.html,Target Center
NOP-WAS-=1282023,=1-28-2023,8:00p,NOP,New Orleans Pelicans,/teams/NOP/2023.html,WAS,Washington Wizards,/teams/WAS/2023.html,Smoothie King Center
SAS-PHO-=1282023,=1-28-2023,8:00p,SAS,San Antonio Spurs,/teams/SAS/2023.html,PHO,Phoenix Suns,/teams/PHO/2023.html,AT&T Center
BOS-LAL-=1282023,=1-28-2023,8:30p,BOS,Boston Celtics,/teams/BOS/2023.html,LAL,Los Angeles Lakers,/teams/LAL/2023.html,TD Garden
UTA-DAL-=1282023,=1-28-2023,9:00p,UTA,Utah Jazz,/teams/UTA/2023.html,DAL,Dallas Mavericks,/teams/DAL/2023.html,Vivint Arena
